Subject,Cond,Exper,Inifile,Date,Time,que1,instrConsc1,conscMPQ1,conscMPQ2,conscMPQ3,conscMPQ4,conscMPQ5,conscMPQ6,conscMPQ7,conscMPQ8,conscMPQ9,conscMPQ10,conscNEO1,conscNEO2,conscNEO3,conscNEO4,conscNEO5,conscNEO6,conscNEO7,conscNEO8,conscNEO9,conscNEO10,conscNEO11,conscNEO12,conscNEO13,conscNEO14,conscNEO15,conscNEO16,tinstrConsc1,tconscMPQ1,tconscMPQ2,tconscMPQ3,tconscMPQ4,tconscMPQ5,tconscMPQ6,tconscMPQ7,tconscMPQ8,tconscMPQ9,tconscMPQ10,tconscNEO1,tconscNEO2,tconscNEO3,tconscNEO4,tconscNEO5,tconscNEO6,tconscNEO7,tconscNEO8,tconscNEO9,tconscNEO10,tconscNEO11,tconscNEO12,tconscNEO13,tconscNEO14,tconscNEO15,tconscNEO16,que2,instConscAdj,conscAdj1,conscAdj2,conscAdj3,conscAdj4,conscAdj5,conscAdj6,conscAdj7,conscAdj8,conscAdj9,conscAdj10,conscAdj11,conscAdj12,tinstConscAdj,tconscAdj1,tconscAdj2,tconscAdj3,tconscAdj4,tconscAdj5,tconscAdj6,tconscAdj7,tconscAdj8,tconscAdj9,tconscAdj10,tconscAdj11,tconscAdj12,que3,que4,ncog1,ncog2,ncog3,ncog4,ncog5,ncog6,ncog7,ncog8,ncog9,ncog10,ncog11,ncog12,ncog13,ncog14,ncog15,ncog16,ncog17,ncog18,tNFCinstr1,tNFCinstr2,tncog1,tncog2,tncog3,tncog4,tncog5,tncog6,tncog7,tncog8,tncog9,tncog10,tncog11,tncog12,tncog13,tncog14,tncog15,tncog16,tncog17,tncog18,que5,persQueInstr,prf_cs1,prf_im1,jpi_comp1,jpi_inno1,spi_cnv1,prf_cs2,prf_im2,jpi_comp2,jpi_inno2,spi_cnv2,prf_cs3,prf_im3,jpi_comp3,jpi_inno3,spi_cnv3,prf_cs4,prf_im4,jpi_comp4,jpi_inno4,spi_cnv4,prf_cs5,prf_im5,jpi_comp5,jpi_inno5,spi_cnv5,prf_cs6,prf_im6,jpi_comp6,jpi_inno6,spi_cnv6,prf_cs7,prf_im7,jpi_comp7,jpi_inno7,spi_cnv7,prf_cs8,prf_im8,jpi_comp8,jpi_inno8,spi_cnv8,prf_cs9,prf_im9,jpi_comp9,jpi_inno9,spi_cnv9,prf_cs10,prf_im10,jpi_comp10,jpi_inno10,spi_cnv10,prf_cs11,prf_im11,jpi_comp11,jpi_inno11,spi_cnv11,prf_cs12,prf_im12,jpi_comp12,jpi_inno12,spi_cnv12,prf_cs13,prf_im13,jpi_comp13,jpi_inno13,spi_cnv13,prf_cs14,prf_im14,jpi_comp14,jpi_inno14,spi_cnv14,prf_cs15,prf_im15,jpi_comp15,jpi_inno15,spi_cnv15,prf_cs16,prf_im16,jpi_comp16,jpi_inno16,jpi_comp17,jpi_inno17,jpi_comp18,jpi_inno18,jpi_comp19,jpi_inno19,jpi_comp20,jpi_inno20,tpersQueInstr,tprf_cs1,tprf_im1,tjpi_comp1,tjpi_inno1,tspi_cnv1,tprf_cs2,tprf_im2,tjpi_comp2,tjpi_inno2,tspi_cnv2,tprf_cs3,tprf_im3,tjpi_comp3,tjpi_inno3,tspi_cnv3,tprf_cs4,tprf_im4,tjpi_comp4,tjpi_inno4,tspi_cnv4,tprf_cs5,tprf_im5,tjpi_comp5,tjpi_inno5,tspi_cnv5,tprf_cs6,tprf_im6,tjpi_comp6,tjpi_inno6,tspi_cnv6,tprf_cs7,tprf_im7,tjpi_comp7,tjpi_inno7,tspi_cnv7,tprf_cs8,tprf_im8,tjpi_comp8,tjpi_inno8,tspi_cnv8,tprf_cs9,tprf_im9,tjpi_comp9,tjpi_inno9,tspi_cnv9,tprf_cs10,tprf_im10,tjpi_comp10,tjpi_inno10,tspi_cnv10,tprf_cs11,tprf_im11,tjpi_comp11,tjpi_inno11,tspi_cnv11,tprf_cs12,tprf_im12,tjpi_comp12,tjpi_inno12,tspi_cnv12,tprf_cs13,tprf_im13,tjpi_comp13,tjpi_inno13,tspi_cnv13,tprf_cs14,tprf_im14,tjpi_comp14,tjpi_inno14,tspi_cnv14,tprf_cs15,tprf_im15,tjpi_comp15,tjpi_inno15,tspi_cnv15,tprf_cs16,tprf_im16,tjpi_comp16,tjpi_inno16,tjpi_comp17,tjpi_inno17,tjpi_comp18,tjpi_inno18,tjpi_comp19,tjpi_inno19,tjpi_comp20,tjpi_inno20,que6,instrPID,PID1_d,PID2_i,PID3_d,PID4_i,PID5_i,PID6_d,PID7_d,PID8_i,PID9_i,PID10_d,PID11_d,PID12_i,PID13_d,PID14_d,PID15_i,PID16_d,PID17_i,PID18_i,tinstrPID,tPID1_d,tPID2_i,tPID3_d,tPID4_i,tPID5_i,tPID6_d,tPID7_d,tPID8_i,tPID9_i,tPID10_d,tPID11_d,tPID12_i,tPID13_d,tPID14_d,tPID15_i,tPID16_d,tPID17_i,tPID18_i,que7,gender,ethn,age,debrWIT,debrAMP1,debrAMP2,debrAMP3,debrAMP4,debrAMP5,race1,race2,race3,race4,race5,race6,tdebrWIT,tdebrAMP1,tdebrAMP2,tdebrAMP3,tdebrAMP4,tdebrAMP5,trace1,trace2,trace3,trace4,trace5,trace6
1,5,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/19/2012,09:36:45,conscientiousness,ok,5,4,4,4,3,2,4,3,1,2,4,1,4,1,4,1,4,1,4,5,1,3,4,3,2,1,21265,2375,1875,3282,1219,3296,4469,2359,2422,2078,2407,2563,2578,1797,1203,2188,1985,1656,1875,1718,1781,1234,3141,1516,2562,1531,3015,conscientiousnessAdjectives,ok,4,2,4,5,1,3,3,2,2,1,4,1,17156,2094,1860,1422,2235,1500,1594,1890,1547,1266,2453,2000,2422,intro_slides,NFC,4,5,1,1,1,5,1,1,3,4,4,3,4,4,5,1,1,5,3766,8547,9094,2609,2578,10844,4125,2375,3406,3078,5969,7906,3500,7109,3203,2704,9328,4937,8719,2750,persQuestionnaires,ok,1,4,1,5,5,5,4,3,1,1,3,4,3,4,1,3,1,5,2,1,2,4,5,4,1,4,1,5,1,1,1,3,2,5,3,2,2,5,3,1,2,4,2,5,2,5,1,5,1,1,4,3,2,4,2,4,4,4,1,1,1,2,4,4,4,4,1,4,3,4,4,2,3,4,1,3,4,4,2,1,4,5,4,2,5,4,1,20562,3250,3156,3531,2359,2468,2250,2859,2672,6032,2344,7718,3406,2562,2453,4578,6875,2110,1938,5578,4547,5344,3375,3781,6656,3328,8578,5359,3359,2984,3859,3484,3750,3859,5093,3890,5406,7140,4703,4844,2968,8844,3985,2750,2531,3750,3453,3641,2594,2235,3031,7000,4047,6015,3719,4407,3656,3453,2796,4172,2609,2812,5656,9031,4047,3218,4687,5063,2406,6563,3453,7156,6578,4125,3735,6281,7281,3297,3547,2953,5984,3032,1985,4344,2546,3079,4906,4688,PID,ok,3,5,5,2,1,5,5,5,4,5,5,1,4,3,4,5,3,5,9906,6266,2828,3016,6438,3235,1829,2672,3078,2781,1312,7672,3125,5281,1672,1875,3204,2063,2610,post,2,Caucasian,18,ok,2,5,ok,2,ok,3,2,1,1,1,2,321921,6985,5313,95859,5938,45719,4094,1844,3187,1656,3250,2407
6,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/19/2012,10:38:35,conscientiousness,ok,4,2,4,4,4,3,4,4,3,3,3,2,4,2,4,4,3,4,4,4,2,4,4,3,3,2,16641,3453,5812,2031,1093,2797,2204,2281,2234,2187,3141,2828,3750,1875,2968,3094,3063,4829,2625,1687,6032,3078,1969,1922,3344,1515,6797,conscientiousnessAdjectives,ok,5,2,4,4,3,4,4,2,2,2,4,2,5016,5578,3687,4312,1266,2281,2266,2203,1656,1500,1515,1984,2156,intro_slides,NFC,3,3,2,2,2,3,2,4,4,4,4,2,4,3,5,1,1,5,4906,7797,4156,6047,4297,7079,12578,11937,3688,8938,6203,4406,7985,4265,4469,2547,9109,9016,8032,7235,persQuestionnaires,ok,2,4,3,4,3,4,4,4,2,3,1,3,4,3,3,4,5,4,3,4,1,1,4,3,3,4,2,5,2,2,1,2,4,4,3,3,2,2,4,3,4,5,4,4,2,4,4,5,2,2,1,3,4,3,2,4,4,4,2,2,1,2,3,4,4,4,4,4,4,4,3,1,3,2,2,5,5,2,2,3,4,4,2,4,3,2,2,29703,3203,3625,9016,3454,4406,7438,2203,4266,6141,5344,7812,6015,3500,4906,3547,5110,2516,9843,9641,6250,7219,6015,3953,5343,6156,4718,4031,4828,5109,6250,5578,2500,5500,2235,5516,156,10078,12125,8078,3984,9406,3516,5031,2828,6407,6468,2359,3093,2797,5906,5328,3078,5265,4625,5109,3266,3625,2610,4485,2594,3703,7969,2578,4609,2781,3828,5266,2438,6516,3187,7938,12094,12078,6187,3407,4313,3734,4672,4093,9000,3500,4813,5657,3953,3266,8062,6969,PID,ok,4,4,5,3,3,4,5,4,4,3,5,2,5,5,3,3,3,4,26641,12797,3703,3078,5500,5109,2312,3875,6422,4844,2703,4375,5703,8047,2093,2828,3140,2234,2734,post,1,chinese,17,ok,2,5,ok,1,ok,3,2,1,1,1,2,47750,5594,7047,11031,7453,10688,13516,5188,2375,2000,4078,3031
15,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/19/2012,11:36:54,conscientiousness,ok,4,3,3,2,4,3,4,4,2,2,2,1,4,2,3,3,4,3,4,3,3,4,2,2,3,2,17406,3875,3719,3110,4672,2218,1766,3563,1594,1859,1719,1469,3500,2984,1500,1922,2672,1891,1718,1953,2125,1188,2016,2312,2109,1672,2453,conscientiousnessAdjectives,ok,4,1,3,4,1,3,2,2,2,4,4,3,5281,2828,1985,2438,1313,1500,3469,1687,1219,875,2547,968,3031,intro_slides,NFC,1,2,2,1,1,5,1,2,2,3,2,2,1,2,4,3,2,4,4954,7938,4594,5140,5032,6610,6156,4063,3609,6031,5031,4860,4047,4125,3719,2047,6031,5172,5906,4078,persQuestionnaires,ok,2,4,2,4,4,2,4,3,2,5,2,3,4,2,3,4,4,5,1,2,3,4,4,4,2,1,2,5,1,1,1,1,2,3,3,2,2,2,4,4,4,3,2,4,2,2,2,3,1,1,2,2,3,4,2,2,3,2,1,2,3,2,3,2,2,3,1,5,3,3,3,2,2,5,2,5,5,2,3,4,2,2,4,5,4,5,4,27203,4172,4844,4563,3391,3156,3187,4437,2359,6406,2500,3797,3016,2093,1843,3953,4953,2187,2172,4203,4187,7656,2906,3297,2313,3625,3343,3234,3656,3172,3438,3921,1859,2359,3781,6016,6422,2890,2203,3906,2625,7078,3250,2422,1922,2984,4625,2235,4594,2047,3875,5235,156,4265,1750,4000,2484,1625,3250,2891,3296,2500,5843,2969,3438,2062,3953,4031,3781,3640,3437,3844,5500,2344,3031,3890,3750,2375,3797,3656,4656,4094,3750,4516,2891,3312,4468,3406,PID,ok,4,5,5,3,4,4,3,4,5,3,4,4,4,4,4,4,4,5,9922,3750,2594,3328,5453,4734,1172,3766,3391,2375,1641,3235,2625,5359,2656,1969,2313,1360,2516,post,1,white,20,ok,2,1,ok,1,ok,3,2,2,1,2,2,113453,7766,6172,19593,7813,28438,7796,1828,1640,1969,3594,2047
20,5,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/19/2012,12:34:35,conscientiousness,ok,4,4,4,5,3,2,2,3,4,2,1,5,4,5,1,2,2,4,2,4,1,5,2,2,2,4,16812,3875,1438,2625,1360,2594,1859,1640,3187,1953,1406,1656,1687,3062,1109,1484,3188,1813,1907,1641,1562,1937,2000,1343,1922,1562,1750,conscientiousnessAdjectives,ok,4,2,4,3,4,2,4,2,2,3,4,2,3922,2812,4109,1266,3625,2000,1984,1719,1016,1157,1907,3406,1422,intro_slides,NFC,3,3,2,2,2,4,2,2,2,4,2,2,2,4,3,2,1,5,3062,5453,11437,4766,4282,6532,10765,3093,3469,4688,4578,5313,7703,3719,3719,2218,5937,6953,5937,3015,persQuestionnaires,ok,2,4,1,4,5,4,5,3,1,4,1,2,3,4,2,4,4,4,1,2,3,4,2,3,2,2,2,2,1,2,1,1,4,4,3,2,2,3,4,3,4,3,2,5,1,2,4,2,2,3,4,2,3,4,4,4,5,4,1,3,2,5,5,3,4,2,5,5,3,5,5,1,2,4,4,4,5,5,3,4,3,4,3,4,3,5,3,10203,3328,4344,3515,2515,2016,3485,3141,2468,4266,4672,3219,2625,3297,2063,2344,6093,1469,2844,3079,5203,7422,5828,4625,5032,4421,3734,2156,7906,2594,3766,3719,2969,6078,3875,2656,5844,5109,5578,5406,6125,7547,3578,2016,2547,2250,6047,2422,4234,2250,3593,5437,1828,4937,2219,5563,2078,2687,6062,3516,2141,6906,3578,2515,3047,3812,3953,6891,1766,3594,1718,3016,4875,3860,4484,3234,4594,4422,1406,5062,6766,3656,3172,4672,4813,5812,2078,4281,PID,ok,5,5,4,2,3,3,4,5,5,4,4,4,5,5,5,3,3,3,8594,4968,2594,3969,4140,6906,172,7141,4328,156,2031,4031,3203,8453,2875,3250,2969,2766,4344,post,1,Chinese,18,ok,1,2,ok,3,ok,3,2,2,2,1,2,57312,4812,4625,24532,2921,5516,5953,1782,1485,2360,2375,1969
21,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/20/2012,11:28:16,conscientiousness,ok,4,2,4,5,2,3,4,4,4,3,3,5,4,4,2,3,3,4,4,4,3,3,3,3,4,4,2828,2687,2141,2515,3125,2469,1969,1313,2360,2922,1890,2531,3281,2562,2656,1844,1375,797,2250,1594,1844,2859,1531,1406,2359,1312,1968,conscientiousnessAdjectives,ok,4,2,4,4,3,4,4,4,4,4,3,2,1187,2469,1906,828,1094,2047,1282,891,1000,1031,1531,2469,1281,intro_slides,NFC,4,4,2,3,2,4,4,3,4,3,4,2,3,5,4,4,1,4,3641,1172,4937,6390,3766,10469,9281,7218,2500,3625,5719,7328,2938,3328,2875,3922,5078,6359,7953,3703,persQuestionnaires,ok,2,4,3,4,3,4,5,3,2,3,2,4,4,3,2,4,2,4,1,4,2,2,4,4,4,2,3,4,4,3,4,2,3,3,5,2,4,4,4,2,2,2,2,2,5,3,4,4,4,4,3,4,4,4,4,4,4,2,2,4,2,3,4,3,3,4,3,4,4,5,4,3,2,2,5,5,4,2,3,4,4,4,3,3,3,3,4,18797,3516,4203,6469,3047,3344,4578,2171,4656,4156,7656,2844,3156,1735,2938,3344,6625,2953,5188,6094,2437,7093,2844,3672,2375,2046,4704,3391,3954,1656,4016,4688,4032,6031,2297,2281,6219,2844,3796,3859,4657,9844,3187,2718,3531,1969,2797,2844,2672,3031,4640,3359,2265,2094,1891,4234,6734,2797,4281,4265,5234,3359,5031,2047,4297,3266,6782,3485,2047,4125,2875,6281,8172,3812,6297,5000,6281,2828,2454,3844,3906,14578,157,2094,703,187,156,578,PID,ok,4,4,4,2,2,5,5,3,4,4,4,4,4,4,3,4,4,3,10485,4735,2094,5422,4812,4250,2172,2485,4515,3406,1750,1890,4015,3766,1735,4110,1703,1500,2485,post,2,Korean,18,ok,2,5,ok,3,ok,3,2,2,2,1,2,45719,2078,5656,36454,4875,48422,7172,1953,2282,1063,3797,2109
30,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/20/2012,12:41:18,conscientiousness,ok,2,1,4,4,3,2,3,3,3,4,4,4,4,4,4,2,4,4,3,4,4,4,5,4,4,4,9329,4281,5781,3891,4000,3953,3453,2734,2641,1953,2765,2141,3860,2406,1656,1219,3563,4172,2515,2890,1469,1406,2890,2203,2531,1828,1890,conscientiousnessAdjectives,ok,4,2,4,3,4,4,4,4,4,4,4,2,3359,3187,1906,2078,2157,1828,984,1218,1297,1297,2453,984,2000,intro_slides,NFC,4,4,4,4,4,2,4,4,4,3,4,4,2,2,5,4,4,4,4890,15781,10532,4594,5375,5313,5656,9063,3110,5016,5750,7579,4750,3625,3734,4406,9718,5344,5469,5437,persQuestionnaires,ok,4,3,4,4,4,5,4,4,4,5,2,4,3,4,4,4,4,4,2,2,3,4,4,4,4,3,4,4,2,4,4,3,4,4,3,4,3,3,2,1,3,2,3,4,2,3,4,2,2,3,2,3,4,3,4,4,4,3,2,2,2,3,2,4,4,3,2,4,2,4,2,4,2,3,2,4,4,2,2,2,4,3,2,2,4,4,3,7687,7281,5719,5094,3563,2563,5594,4000,3703,5359,5953,4172,3484,5219,3188,2454,2781,2219,4485,4329,7485,6797,4657,4375,4047,6921,6297,5937,3875,3532,6485,5313,3016,2953,4860,3266,4812,6125,5546,8125,5875,44062,3516,7250,2656,3953,5343,2406,4437,2359,4875,5687,4407,3766,4266,9468,2750,3265,5750,4453,2859,6734,5765,4422,5750,5921,3484,3578,8344,4703,4000,8328,7172,3547,6953,3000,3062,3172,4063,5593,8500,3563,4266,3906,3813,2891,4563,8016,PID,ok,3,3,4,4,5,4,4,4,4,5,4,4,4,3,4,4,4,4,20766,11484,4875,5156,3531,6000,2671,4297,5469,2140,2828,3812,3532,4063,2282,2860,2313,2125,2047,post,2,Chinese,18,ok,2,4,ok,3,ok,3,2,2,1,1,1,108453,14344,5610,87032,4172,8468,13656,2969,3500,6718,3172,2782
43,4,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/21/2012,11:45:48,conscientiousness,ok,5,1,5,5,5,1,4,1,2,1,5,1,4,1,4,4,4,1,4,5,2,3,1,5,2,2,23438,4187,3172,6188,1969,1843,3359,4500,2906,5672,6812,9531,3969,3828,1094,1875,3672,1594,3171,1703,3734,3875,3344,1594,3579,2750,6062,conscientiousnessAdjectives,ok,5,1,5,3,4,1,4,1,1,2,5,1,15562,2797,1281,1922,3938,2610,1391,4375,969,797,2281,3000,2078,intro_slides,NFC,4,4,2,3,1,5,1,1,1,5,2,2,2,1,3,1,2,2,6782,5500,10531,7250,10329,28484,8891,10312,3937,3828,7984,4860,17235,8297,3860,11469,9562,12516,6812,5297,persQuestionnaires,ok,1,1,3,2,3,2,3,3,4,4,4,3,3,3,2,3,5,2,2,3,2,1,3,2,3,3,4,2,4,4,2,2,4,3,3,4,4,3,4,3,3,1,3,2,4,4,4,1,3,3,3,1,3,2,3,5,4,4,4,1,4,1,4,3,5,4,3,3,4,2,2,2,4,2,3,4,5,1,3,3,4,1,2,1,3,4,3,12593,3125,6828,5781,2734,5109,6000,6125,7140,6953,8234,4219,4968,6156,4359,7266,7281,2375,5516,5328,13422,10437,3797,11938,8641,7234,9641,5719,6860,6781,6750,3282,3750,4282,4531,3610,7234,6078,4813,7328,8234,27406,3484,7609,3797,2937,8156,3688,3484,3781,6844,13485,5109,5125,2485,12438,4891,2844,4203,2985,6657,3860,5094,8296,3906,8937,8109,6984,10562,3656,4032,6735,6328,6843,6891,3906,8453,4500,3875,10234,5281,5953,2079,11703,2562,10937,4422,6813,PID,ok,5,2,5,1,3,3,4,4,3,5,5,4,4,3,1,5,4,1,22297,11687,10016,6296,4188,10328,23219,3594,11187,9125,1750,6422,5406,9687,3203,4265,8532,7688,2734,post,2,Lebanese and Canadian,18,ok,2,3,ok,2,ok,3,2,2,1,2,2,57750,6828,6719,59047,6844,6781,6531,3000,1843,15000,2125,3422
57,2,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/24/2012,11:34:13,conscientiousness,ok,2,4,4,4,4,2,4,3,4,3,2,4,4,4,2,4,4,3,4,4,3,4,4,3,2,4,26641,5375,3188,14109,1781,2000,4203,1969,4265,3953,2532,1719,2187,2187,1953,2109,2469,3172,4141,1422,1343,2188,2172,1390,2844,11141,3375,conscientiousnessAdjectives,ok,4,2,4,4,2,4,4,2,3,2,4,2,3563,2641,2375,1672,2578,5016,2109,1859,3312,3500,2204,2719,1750,intro_slides,NFC,2,2,4,3,2,2,3,4,3,4,2,3,2,2,4,4,2,4,5344,11640,8000,6516,5328,8469,5953,4266,5750,6312,4922,5218,5312,4813,3985,3156,22125,5968,5547,4906,persQuestionnaires,ok,2,2,4,2,4,2,4,3,4,4,1,4,4,2,2,4,4,3,4,2,2,4,4,2,4,2,2,4,3,1,2,2,4,2,3,4,2,1,4,4,2,4,4,3,2,2,2,3,3,3,2,2,4,2,4,4,4,2,2,1,4,2,4,2,3,4,2,4,4,4,2,2,2,2,4,4,4,4,4,4,2,3,4,4,2,4,4,25906,3609,4218,6344,2969,2516,2485,3078,4781,4468,6250,3453,2781,3031,3344,2844,3719,2546,4281,4344,2782,7969,3296,2688,3813,5032,2703,4266,4328,3734,3656,4140,4453,3422,2219,3641,6234,4015,4234,4078,2515,7844,3844,4828,4282,3047,5578,3032,3110,3391,7156,5485,2282,3000,2172,4875,5047,3062,3750,2734,2421,2828,3640,3391,4032,3578,2937,4406,3593,5266,2047,6391,4859,3406,4063,3469,3796,2906,2484,3406,6515,2984,3188,3563,3609,3484,7375,7594,PID,ok,4,3,4,2,2,4,2,2,2,4,4,2,4,3,2,2,4,3,22313,4250,5234,2687,4516,3453,1953,3234,11515,3969,2047,4484,4281,5782,2750,2093,6453,2500,5219,post,1,european,19,ok,2,3,ok,2,ok,3,2,2,1,2,2,62391,6625,6953,24672,4250,39594,9422,1984,7078,9343,2328,1797
62,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/24/2012,12:36:02,conscientiousness,ok,3,4,3,5,5,2,3,1,4,1,2,4,3,5,2,5,2,5,4,3,2,4,3,2,3,3,27797,5609,3953,4968,4515,2671,2078,5281,3235,2594,2516,2062,3078,2422,3734,2875,1985,4172,3016,2391,2015,1625,2344,2360,5094,3657,2391,conscientiousnessAdjectives,ok,5,2,4,5,4,3,2,2,1,4,3,2,16422,4016,2750,2625,2312,5687,2063,4640,1765,1453,2687,1562,1890,intro_slides,NFC,2,1,5,4,3,2,1,2,4,2,1,2,1,2,3,2,2,4,7157,9797,8719,6563,3515,5000,6281,13578,3859,7078,5485,6110,4750,4641,3578,3328,15469,7672,6703,7797,persQuestionnaires,ok,2,4,2,2,5,1,3,2,4,5,1,1,4,2,4,2,4,2,3,2,4,5,2,2,5,1,4,4,4,4,2,2,4,3,5,5,5,2,5,5,4,2,2,3,4,3,4,4,4,4,2,1,4,4,5,2,2,1,4,3,5,2,2,1,5,2,5,2,4,4,4,3,1,5,4,5,2,1,5,3,2,2,5,1,2,3,4,38687,6937,4578,6578,4984,2687,3328,4735,3563,5547,3562,5343,3296,3390,3406,3890,6672,2437,8250,6875,3547,7344,4828,5625,5343,4922,6000,5172,5265,3656,4297,5110,3797,3359,6375,3516,4188,5453,6953,7719,4750,8516,5937,2906,5391,3953,8453,3797,4734,2531,6875,8360,3110,7375,5141,4156,5406,4171,5281,3922,3813,3766,3563,3578,4312,2953,4625,5031,9203,7625,2906,10125,8954,4500,6391,5390,4500,5375,4515,5875,7329,4344,3750,3687,6343,11140,20062,4281,PID,ok,5,4,4,3,5,4,2,3,4,3,5,5,3,4,4,4,4,5,18125,4469,4984,3438,3437,4031,3234,5812,11625,6344,3422,4344,4735,4156,2078,1704,2781,2906,2828,post,1,egyptian,18,ok,2,1,ok,1,ok,3,2,2,1,2,2,60750,7391,4672,43219,4875,22875,7141,2843,2828,4906,3203,2250
67,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/26/2012,09:36:31,conscientiousness,ok,4,2,4,4,3,2,4,2,4,2,4,3,4,1,4,2,4,2,4,4,2,4,2,4,2,2,23734,6625,3969,3750,1766,3468,2391,2297,3047,2812,1984,1906,3485,1766,2656,3140,2281,3187,3125,2110,2563,2375,2266,2032,4891,3906,2797,conscientiousnessAdjectives,ok,4,4,4,4,4,2,4,2,2,3,4,2,21296,4563,2671,5031,1906,2453,2125,2453,1781,1969,2015,3109,3812,intro_slides,NFC,3,4,2,1,2,4,4,4,3,4,4,3,4,4,3,3,2,4,6157,10407,9938,5656,4141,5813,6016,7953,2969,5719,4437,5766,4094,3406,3375,3656,12156,8234,5640,6125,persQuestionnaires,ok,3,2,3,4,4,2,4,4,2,3,2,3,4,4,3,4,4,4,5,3,4,3,4,1,4,2,4,4,4,2,5,3,5,4,3,4,4,3,4,4,3,1,3,2,3,3,4,1,4,3,3,3,4,2,4,4,4,4,2,3,4,3,4,2,4,3,4,4,4,4,2,2,2,3,3,4,4,1,3,4,3,3,4,4,4,4,4,43422,4329,4250,5704,3594,2453,4250,3734,3468,5391,4406,3937,3016,3516,3906,2875,3109,1813,4797,7265,3328,4906,5078,5141,12438,3907,5782,4688,5875,3000,8171,5156,3359,12375,3250,3141,3125,6078,6109,8031,3781,6157,4078,3282,4766,3969,10625,4266,6906,3578,5594,10562,7125,4516,4485,4282,4313,2969,6640,3484,4359,5578,4531,4125,3969,5438,4391,7296,4094,4172,3000,7641,7797,4860,4890,4781,6172,2860,2843,8359,7844,8187,3718,5297,4000,5172,5718,3922,PID,ok,4,4,4,2,2,3,3,4,2,3,5,4,4,4,3,5,4,3,21438,11797,3718,3765,5578,5375,2953,4360,10016,3016,2234,3984,3500,5469,1985,3422,6906,2062,5687,post,2,Indian,17,ok,2,3,ok,3,ok,3,2,2,2,1,2,75562,6375,4812,27953,5984,42562,7500,2578,2266,3407,2250,3094
